RM,MEDV
3.561,24
3.863,21.6
4.138,33.4
4.138,34.7
4.368,36.2
4.519,28.7
4.628,22.9
4.652,27.1
4.88,16.5
4.903,18.9
4.906,15
4.926,18.9
4.963,21.7
4.97,20.4
4.973,18.2
5,19.9
5.012,23.1
5.019,17.5
5.036,20.2
5.093,18.2
5.155,13.6
5.186,19.6
5.272,15.2
5.277,14.5
5.304,13.9
5.304,15.6
5.344,16.6
5.349,14.8
5.362,18.4
5.39,12.7
5.39,21
5.399,14.5
5.403,13.2
5.404,13.1
5.404,13.5
5.412,18.9
5.414,20
5.427,21
5.453,24.7
5.454,30.8
5.456,34.9
5.468,26.6
5.52,25.3
5.531,24.7
5.536,21.2
5.56,19.3
5.565,20
5.569,16.6
5.57,14.4
5.572,19.4
5.593,19.7
5.594,20.5
5.597,25
5.599,23.4
5.602,18.9
5.604,35.4
5.605,24.7
5.608,31.6
5.613,23.3
5.617,19.6
5.627,18.7
5.628,16
5.631,22.2
5.637,25
5.648,33
5.663,23.5
5.67,19.4
5.682,22
5.683,17.4
5.693,20.9
5.701,24.2
5.705,21.7
5.706,22.8
5.707,23.4
5.708,24.1
5.709,21.4
5.713,20
5.713,20.8
5.713,21.2
5.727,20.3
5.731,28
5.741,23.9
5.747,24.8
5.757,22.9
5.757,23.9
5.759,26.6
5.762,22.5
5.782,22.2
5.783,23.6
5.786,28.7
5.787,22.6
5.79,22
5.794,22.9
5.803,25
5.807,20.6
5.813,21.4
5.813,28.4
5.818,38.7
5.822,43.8
5.834,33.2
5.836,27.5
5.837,26.5
5.841,18.6
5.85,19.3
5.851,20.1
5.852,19.5
5.854,19.5
5.854,20.4
5.856,19.4
5.856,19.8
5.857,21.7
5.859,22.8
5.868,18.8
5.869,18.7
5.87,18.5
5.871,18.3
5.872,21.2
5.874,19.2
5.875,19.3
5.875,20.4
5.876,22
5.877,20.3
5.878,20.5
5.879,17.3
5.88,18.8
5.884,21.4
5.885,15.7
5.887,16.2
5.888,14.3
5.888,18
5.889,19.2
5.891,19.6
5.895,23
5.896,18.4
5.898,15.6
5.905,18.1
5.913,17.4
5.914,17.1
5.92,13.3
5.924,17.8
5.926,14
5.926,14.4
5.927,13.4
5.928,15.6
5.933,11.8
5.935,13.8
5.935,15.6
5.936,14.6
5.936,17.8
5.942,15.4
5.949,21.5
5.95,19.6
5.951,15.3
5.952,19.4
5.957,17
5.96,15.6
5.961,13.1
5.961,41.3
5.963,24.3
5.965,23.3
5.966,27
5.966,50
5.968,50
5.972,50
5.976,22.7
5.981,25
5.983,23.8
5.983,50
5.985,23.8
5.986,22.3
5.987,17.4
5.99,19.1
5.998,23.1
6.003,23.6
6.004,22.6
6.004,29.4
6.006,23.2
6.009,24.6
6.009,29.9
6.012,37.2
6.014,39.8
6.015,36.2
6.019,37.9
6.02,32.5
6.021,26.4
6.023,29.6
6.027,50
6.03,29.8
6.03,32
6.031,34.9
6.037,37
6.041,30.5
6.047,36.4
6.051,31.1
6.059,29.1
6.064,50
6.065,33.3
6.066,30.3
6.069,34.6
6.072,34.9
6.081,32.9
6.083,24.1
6.086,42.3
6.092,48.5
6.095,50
6.096,22.6
6.096,24.4
6.101,22.5
6.103,24.4
6.108,20
6.108,21.7
6.112,19.3
6.113,22.4
6.114,28.1
6.115,23.7
6.12,25
6.121,23.3
6.122,21.5
6.122,28.7
6.127,21.7
6.127,23
6.127,26.7
6.129,27.5
6.13,30.1
6.137,44.8
6.14,50
6.142,37.6
6.144,31.6
6.144,46.7
6.145,31.5
6.151,24.3
6.152,31.7
6.152,41.7
6.153,48.3
6.162,24
6.162,29
6.163,25.1
6.164,31.5
6.167,22
6.167,23.3
6.167,23.7
6.169,20.1
6.172,22.2
6.174,23.7
6.176,17.6
6.182,18.5
6.185,20.5
6.185,24.3
6.193,24.5
6.193,26.2
6.195,24.4
6.202,24.8
6.208,29.6
6.209,21.9
6.209,42.8
6.211,20.9
6.211,44
6.212,50
6.216,36
6.219,30.1
6.223,33.8
6.226,43.1
6.229,31
6.229,36.5
6.229,48.8
6.23,22.8
6.232,30.7
6.24,50
6.242,43.5
6.245,20.7
6.249,21.1
6.25,25.2
6.251,24.4
6.251,35.2
6.254,32.4
6.266,32
6.273,33.2
6.279,33.1
6.286,29.1
6.29,35.1
6.297,45.4
6.301,35.4
6.302,46
6.31,50
6.312,22
6.312,32.2
6.315,20.1
6.315,23.2
6.316,22.3
6.317,24.8
6.319,28.5
6.326,27.9
6.326,37.3
6.333,23.9
6.335,21.7
6.341,28.6
6.343,27.1
6.345,20.3
6.348,22.5
6.358,29
6.372,24.8
6.373,22
6.375,26.4
6.376,33.1
6.376,36.1
6.377,28.4
6.38,28.2
6.38,33.4
6.382,22.8
6.383,20.3
6.389,16.1
6.393,22.1
6.395,19.4
6.398,21.6
6.402,23.8
6.404,16.2
6.405,17.8
6.405,19.8
6.405,23.1
6.406,21
6.411,23.8
6.415,23.1
6.416,20.4
6.417,18.5
